upazila,district
Abhaynagar,Jessore
Adabor,Dhaka
Adamdighi,Bogra
Aditmari,Lalmonirhat
Agailjhara,Barisal
Ajmiriganj,Habiganj
Akhaura,Brahamanbaria
Akkelpur,Joypurhat
Alamdanga,Chuadanga
Alfadanga,Faridpur
Alikadam,Bandarban
Amtali,Barguna
Anowara,Chittagong
Araihazar,Narayanganj
Ashuganj,Brahamanbaria
Assasuni,Satkhira
Atgharia,Pabna
Atpara,Netrakona
Atrai,Naogaon
Atwari,Panchagarh
Austagram,Kishoreganj
Babuganj,Barisal
Badalgachhi,Naogaon
Badarganj,Rangpur
Badda,Dhaka
Bagati Para,Natore
Bagerhat Sadar,Bagerhat
Bagha,Rajshahi
Baghai Chhari,Rangamati
Bagher Para,Jessore
Baghmara,Rajshahi
Bahubal,Habiganj
Bajitpur,Kishoreganj
Bakalia,Chittagong
Bakerganj,Barisal
Bakshiganj,Jamalpur
Balaganj,Sylhet
Balia Kandi,Rajbari
Baliadangi,Thakurgaon
Bamna,Barguna
Banari Para,Barisal
Banchharampur,Brahamanbaria
Bandar,Narayanganj
Bandarban Sadar,Bandarban
Bangshal,Dhaka
Baniachong,Habiganj
Banshkhali,Chittagong
Baraigram,Natore
Barguna Sadar,Barguna
Barhatta,Netrakona
Barisal Sadar (Kotwali),Barisal
Barkal,Rangamati
Barlekha,Maulvibazar
Barura,Comilla
Basail,Tangail
Batiaghata,Khulna
Bauphal,Patuakhali
Bayejid Bostami,Chittagong
Beani Bazar,Sylhet
Begumganj,Noakhali
Belabo,Narsingdi
Belai Chhari,Rangamati
Belkuchi,Sirajganj
Bera,Pabna
Betagi,Barguna
Bhairab,Kishoreganj
Bhaluka,Mymensingh
Bhandaria,Pirojpur
Bhanga,Faridpur
Bhangura,Pabna
Bhedarganj,Shariatpur
Bheramara,Kushtia
Bhola Sadar,Bhola
Bholahat,Nawabganj
Bhuapur,Tangail
Bhurungamari,Kurigram
Bijoynagar,Brahamanbaria
Biman Bandar,Dhaka
Biral,Dinajpur
Birampur,Dinajpur
Birganj,Dinajpur
Bishwambarpur,Sunamganj
Bishwanath,Sylhet
Boalia,Rajshahi
Boalkhali,Chittagong
Boalmari,Faridpur
Bochaganj,Dinajpur
Boda,Panchagarh
Bogra Sadar,Bogra
Brahman Para,Comilla
Brahmanbaria Sadar,Brahamanbaria
Burhanuddin,Bhola
Burichang,Comilla
Cantonment,Dhaka
Chak Bazar,Dhaka
Chakaria,Cox's Bazar
Chandanaish,Chittagong
Chandgaon,Chittagong
Chandina,Comilla
Chandpur Sadar,Chandpur
Char Bhadrasan,Faridpur
Char Fasson,Bhola
Char Rajibpur,Kurigram
Charghat,Rajshahi
Chatkhil,Noakhali
Chatmohar,Pabna
Chauddagram,Comilla
Chaugachha,Jessore
Chauhali,Sirajganj
Chhagalnaiya,Feni
Chhatak,Sunamganj
Chilmari,Kurigram
Chirirbandar,Dinajpur
Chitalmari,Bagerhat
Chittagong Port,Chittagong
Chuadanga Sadar,Chuadanga
Chunarughat,Habiganj
Comilla Adarsha Sadar,Comilla
Comilla Sadar Dakshin,Comilla
Companiganj,Noakhali
Companiganj,Sylhet
Cox's Bazar Sadar,Cox's Bazar
Dacope,Khulna
Daganbhuiyan,Feni
Dakshin Sunamganj,Sunamganj
Dakshin Surma,Sylhet
Dakshinkhan,Dhaka
Damudya,Shariatpur
Damurhuda,Chuadanga
Darus Salam,Dhaka
Dashmina,Patuakhali
Daudkandi,Comilla
Daulatkhan,Bhola
Daulatpur,Manikganj
Daulatpur,Khulna
Daulatpur,Kushtia
Debhata,Satkhira
Debidwar,Comilla
Debiganj,Panchagarh
Delduar,Tangail
Demra,Dhaka
Derai,Sunamganj
Dewanganj,Jamalpur
Dhamoirhat,Naogaon
Dhamrai,Dhaka
Dhanbari,Tangail
Dhanmondi,Dhaka
Dharampasha,Sunamganj
Dhobaura,Mymensingh
Dhunat,Bogra
Dhupchanchia,Bogra
Dighalia,Khulna
Dighinala,Khagrachhari
Dimla,Nilphamari
Dinajpur Sadar,Dinajpur
Dohar,Dhaka
Domar,Nilphamari
Double Mooring,Chittagong
Dowarabazar,Sunamganj
Dumki,Patuakhali
Dumuria,Khulna
Durgapur,Netrakona
Durgapur,Rajshahi
Fakirhat,Bagerhat
Faridganj,Chandpur
Faridpur,Pabna
Faridpur Sadar,Faridpur
Fatikchhari,Chittagong
Fenchuganj,Sylhet
Feni Sadar,Feni
Fulbari,Dinajpur
Fulbaria,Mymensingh
Fulchhari,Gaibandha
Fulgazi,Feni
Gabtali,Bogra
Gaffargaon,Mymensingh
Gaibandha Sadar,Gaibandha
Galachipa,
Gangachara,Rangpur
Gangni,Meherpur
Gauripur,Mymensingh
Gaurnadi,Barisal
Gazaria,Munshiganj
Gazipur Sadar,Gazipur
Gendaria,Dhaka
Ghatail,Tangail
Ghior,Manikganj
Ghoraghat,Dinajpur
Goalandaghat,Rajbari
Gobindaganj,Gaibandha
Godagari,Rajshahi
Golabganj,Sylhet
Gomastapur,Nawabganj
Gopalganj Sadar,Gopalganj
Gopalpur,Tangail
Gosairhat,Shariatpur
Gowainghat,Sylhet
Gulshan,Dhaka
Gurudaspur,Natore
Habiganj Sadar,Habiganj
Haim Char,
Hajiganj,Chandpur
Hakimpur,Dinajpur
Halishahar,Chittagong
Haluaghat,Mymensingh
Harinakunda,Jhenaidah
Haripur,Thakurgaon
Harirampur,Manikganj
Hathazari,Chittagong
Hatibandha,Lalmonirhat
Hatiya,Noakhali
Hazaribagh,Dhaka
Hizla,Barisal
Homna,Comilla
Hossainpur,Kishoreganj
Ishwardi,Pabna
Ishwarganj,Mymensingh
Islampur,Jamalpur
Itna,Kishoreganj
Jagannathpur,Sunamganj
Jaintiapur,Sylhet
Jaldhaka,Nilphamari
Jamalganj,Sunamganj
Jamalpur Sadar,Jamalpur
Jatrabari,Dhaka
Jhalokati Sadar,Jhalokati
Jhenaidah Sadar,Jhenaidah
Jhenaigati,Sherpur
Jhikargachha,Jessore
Jiban Nagar,Chuadanga
Joypurhat Sadar,Joypurhat
Jurai Chhari,Rangamati
Juri,Maulvibazar
Kabirhat,Noakhali
Kachua,Chandpur
Kachua,Bagerhat
Kadamtali,Dhaka
Kafrul,Dhaka
Kahaloo,Bogra
Kaharole,Dinajpur
Kala Para,Patuakhali
Kalabagan,Dhaka
Kalai,Joypurhat
Kalaroa,Satkhira
Kalia,Narail
Kaliakair,Gazipur
Kaliganj,Gazipur
Kaliganj,Jhenaidah
Kaliganj,Satkhira
Kaliganj,Lalmonirhat
Kalihati,Tangail
Kalkini,Madaripur
Kalmakanda,Netrakona
Kalukhali,Rajbari
Kamalganj,Maulvibazar
Kamalnagar,Lakshmipur
Kamarkhanda,Sirajganj
Kamrangir Char,Dhaka
Kanaighat,Sylhet
Kanthalia,Jhalokati
Kapasia,Gazipur
Kaptai,Rangamati
Karimganj,Kishoreganj
Kasba,Brahamanbaria
Kashiani,Gopalganj
Katiadi,Kishoreganj
Kaunia,Rangpur
Kawkhali,Pirojpur
Kawkhali (Betbunia),Rangamati
Kazipur,Sirajganj
Kendua,Netrakona
Keraniganj,Dhaka
Keshabpur,Jessore
