,imp_train_rf,mutual_info,norm_imp,norm_mi,score
epiweek,0.19622617394259967,0.1331142379151713,0.99999999490384,0.9999999924876557,0.9999999936957478
upzmunc,0.19366699330845252,0.0705627485953515,0.9869580007106812,0.5300916654026658,0.7585248330566735
age,0.1511786406468606,0.05231283139974274,0.7704305538804065,0.3929920031551226,0.5817112785177645
district,0.11606767843645333,0.0350592043508382,0.5914994697848317,0.2633768155575011,0.4274381426711664
division,0.040967638694584196,0.025526047273694674,0.20877764501381174,0.1917604568956854,0.20026905095474856
rash_duration,0.06538836100273915,0.007600253752710007,0.3332295552408675,0.05709572330239865,0.19516263927163308
fever_duration,0.073603625223337,0.0,0.37509585683391944,0.0,0.18754792841695972
vax_status,0.02228220413453521,0.01975544639916782,0.11355367927369134,0.14840971604665992,0.13098169766017564
doses_mcv,0.016716760837547376,0.01884611215452936,0.08519128929887862,0.14157848407591678,0.1133848866873977
doses_rcv,0.01632607896789875,0.018138627817441133,0.08320031194958816,0.1362636181167681,0.10973196503317813
sex,0.029288392773557947,0.0037955529245896624,0.1492583381504808,0.02851350055051906,0.08888591935049994
invest_lag,0.017078730035774377,0.0021421688508624914,0.08703594227819132,0.016092710053562453,0.05156432616587689
ccc,0.013462226590833962,0.003589450265558236,0.06860566178172688,0.026965186405382657,0.04778542409355477
fever_gte7,0.008386305264956012,0.0039427410315016065,0.042737954135880114,0.029619228293181823,0.03617859121453097
fever_and_rash,0.0073554092372108745,0.004045998073483492,0.037484342949468834,0.030394930748632042,0.033939636849050436
fever_cough_coryza_conj,0.00728207983510314,0.004001863560286534,0.03711064457753051,0.030063377087982082,0.033587010832756295
rash_gte3,0.013103965664239959,0.0,0.06677990674828752,0.0,0.03338995337414376
ccc_yes,0.005517977390489974,0.005011472145852958,0.02812049611681061,0.03764790443677915,0.03288420027679488
age_group,0.0,0.005038042445028923,0.0,0.03784750967354798,0.01892375483677399
time_since_mcv,0.003161217039262895,0.0020621466687968937,0.01611006808947694,0.015491555866619365,0.015800811978048154
travel,0.002939540973563172,0.0,0.014980371372081478,0.0,0.007490185686040739
