model,roc_auc,pr_auc,accuracy,sensitivity,specificity,f1,mcc,level
LogisticRegression,0.9039411206077872,0.9548836858640257,0.8133333333333332,0.8592592592592594,0.7141025641025641,0.8616433613658918,0.57586076856345,DIVISION
DecisionTree,0.8284188034188034,0.8751235466559933,0.8034615384615386,0.9111111111111111,0.5717948717948718,0.8629542894481835,0.5301418907584898,DIVISION
NaiveBayes,0.8829297245963911,0.9382074488265472,0.7628205128205128,0.6666666666666667,0.9679487179487178,0.7866424047737647,0.599346724816433,DIVISION
RandomForest,0.9138651471984807,0.959674800666311,0.8538461538461538,0.9111111111111111,0.732051282051282,0.8950203792309056,0.6567928726519021,DIVISION
ExtraTrees,0.889434947768281,0.939180682558758,0.8184615384615386,0.8666666666666666,0.7166666666666667,0.8671748935899879,0.5814140147265288,DIVISION
HistGradientBoosting,0.9190883190883191,0.9625759346133413,0.853974358974359,0.9111111111111111,0.7307692307692308,0.8943753322700692,0.6600466928167166,DIVISION
XGBoost,0.8915479582146247,0.9499868652141314,0.8182051282051281,0.8666666666666668,0.7141025641025642,0.8670402134553079,0.579803007634022,DIVISION
LightGBM,0.8927825261158595,0.9508859785736263,0.8334615384615386,0.888888888888889,0.7141025641025641,0.8795209292528062,0.6116700082532117,DIVISION
CatBoost,0.9078822412155745,0.956366633331068,0.8338461538461539,0.8814814814814815,0.7333333333333334,0.8784478484478484,0.6175327054773561,DIVISION
LogisticRegression,0.9010597739382519,0.8232153142310963,0.8382468450541969,0.6863919413919414,0.9060738316057465,0.722424663615586,0.6117778814479049,DISTRICT
DecisionTree,0.857919640067758,0.7257278072743061,0.8329353650660662,0.6844139194139194,0.899243498817967,0.7164859609776071,0.6000872742878778,DISTRICT
NaiveBayes,0.8741893198030677,0.7892293631336385,0.8187725820809553,0.5450915750915749,0.9410947444989999,0.6484268453998336,0.5531616502040542,DISTRICT
RandomForest,0.9096724304518903,0.8335246429455119,0.8541900123928714,0.7323443223443223,0.9086452082196764,0.7563273546986722,0.6536302829954508,DISTRICT
ExtraTrees,0.8840745961470183,0.7618162842814066,0.8488785324047408,0.7285897435897436,0.9026550281869431,0.7485165423568702,0.6418478772061267,DISTRICT
HistGradientBoosting,0.9064343741819192,0.8159966067642876,0.8488785324047408,0.718974358974359,0.9069358065102746,0.7460673906535483,0.6402216622996619,DISTRICT
XGBoost,0.9137424012158053,0.835948105046544,0.8565638581976227,0.7323809523809524,0.9120567375886525,0.7592603369626143,0.6584473630425803,DISTRICT
LightGBM,0.9082724223252047,0.8197552625020794,0.8429840638145608,0.7093956043956045,0.9026804873613384,0.7366241346532668,0.6265508343508231,DISTRICT
CatBoost,0.9141663810669538,0.8443369835870108,0.8595067288055717,0.7323260073260073,0.9163266048372432,0.7626730300738827,0.6646728291581041,DISTRICT
LogisticRegression,0.872366885375208,0.483138317332778,0.9371920758469645,0.2154090331942681,0.9942545265136504,0.33365887043712494,0.38119099630068,UPZMUNCC
DecisionTree,0.8653939784217137,0.4428753266210325,0.9365015461216697,0.24230908761110106,0.9913820728545062,0.35798943622464474,0.38434056818448536,UPZMUNCC
NaiveBayes,0.8553718395110869,0.4164814631316348,0.9265429380491745,0.35136042082350805,0.9720185023722442,0.4117024494084582,0.38216931866429477,UPZMUNCC
RandomForest,0.8491797066713467,0.44331538846400653,0.9320645511872719,0.3164338835479775,0.9807422463284002,0.40345559379308427,0.38990198446842633,UPZMUNCC
ExtraTrees,0.7933655250540006,0.33633445369177484,0.9254583198454753,0.32043352076909126,0.9732943620984453,0.38403976427275144,0.35662535483643465,UPZMUNCC
HistGradientBoosting,0.8873202236672858,0.501250408459581,0.9381777830919127,0.31229820424451293,0.9876583288983503,0.42509300302870495,0.43014216133291494,UPZMUNCC
XGBoost,0.8981610546935827,0.5303046398994702,0.9394598829788577,0.2907944857609287,0.9907438882157781,0.41212169635179147,0.43043084085217587,UPZMUNCC
LightGBM,0.8940335810554633,0.5162464023798335,0.9388685072367826,0.29078541628877197,0.9901054771098252,0.41039524644364295,0.4262005448174544,UPZMUNCC
CatBoost,0.8964590771229737,0.5235329938518435,0.9383754591947335,0.27596589878469074,0.9907439448325841,0.3958822028276595,0.4155209454069942,UPZMUNCC
