DIVISION,yr,wk,cases,OUTBREAK,prev_cases,cases_mean,active_weeks,lag1,lag2,roll3,prev_active,wk_sin,wk_cos
BARISAL,2026,1,0,0,0.0,20.5,17,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
BARISAL,2026,2,0,0,0.0,20.5,17,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
BARISAL,2026,3,0,0,0.0,20.5,17,0.0,0.0,0.0,0,0.7557495743542583,0.6548607339452851
BARISAL,2026,4,1,0,0.0,20.5,17,0.0,0.0,0.0,0,0.9096319953545183,0.41541501300188644
BARISAL,2026,5,0,0,1.0,20.5,17,1.0,0.0,1.0,1,0.9898214418809327,0.14231483827328512
BARISAL,2026,6,1,0,0.0,20.5,17,0.0,1.0,1.0,0,0.9898214418809328,-0.142314838273285
BARISAL,2026,7,0,0,1.0,20.5,17,1.0,0.0,2.0,1,0.9096319953545184,-0.4154150130018863
BARISAL,2026,8,2,1,0.0,20.5,17,0.0,1.0,1.0,0,0.7557495743542583,-0.654860733945285
BARISAL,2026,9,10,1,2.0,20.5,17,2.0,0.0,3.0,1,0.5406408174555978,-0.8412535328311811
BARISAL,2026,10,5,1,10.0,20.5,17,10.0,2.0,12.0,1,0.28173255684142967,-0.9594929736144974
BARISAL,2026,11,22,1,5.0,20.5,17,5.0,10.0,17.0,1,5.66553889764798e-16,-1.0
BARISAL,2026,12,12,1,22.0,20.5,17,22.0,5.0,37.0,1,-0.2817325568414294,-0.9594929736144975
BARISAL,2026,13,41,1,12.0,20.5,17,12.0,22.0,39.0,1,-0.5406408174555976,-0.8412535328311812
BARISAL,2026,14,31,1,41.0,20.5,17,41.0,12.0,75.0,1,-0.7557495743542582,-0.6548607339452852
BARISAL,2026,15,32,1,31.0,20.5,17,31.0,41.0,84.0,1,-0.909631995354518,-0.41541501300188716
BARISAL,2026,16,84,1,32.0,20.5,17,32.0,31.0,104.0,1,-0.9898214418809327,-0.14231483827328523
BARISAL,2026,17,63,1,84.0,20.5,17,84.0,32.0,147.0,1,-0.9898214418809328,0.14231483827328487
BARISAL,2026,18,34,1,63.0,20.5,17,63.0,84.0,179.0,1,-0.9096319953545186,0.41541501300188605
BARISAL,2026,19,44,1,34.0,20.5,17,34.0,63.0,181.0,1,-0.7557495743542587,0.6548607339452845
BARISAL,2026,20,38,1,44.0,20.5,17,44.0,34.0,141.0,1,-0.5406408174555974,0.8412535328311812
BARISAL,2026,21,20,1,38.0,20.5,17,38.0,44.0,116.0,1,-0.2817325568414298,0.9594929736144974
BARISAL,2026,22,11,1,20.0,20.5,17,20.0,38.0,102.0,1,-1.133107779529596e-15,1.0
CHITTAGONG,2026,1,0,0,0.0,49.27272727272727,20,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
CHITTAGONG,2026,2,3,1,0.0,49.27272727272727,20,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
CHITTAGONG,2026,3,2,1,3.0,49.27272727272727,20,3.0,0.0,3.0,1,0.7557495743542583,0.6548607339452851
CHITTAGONG,2026,4,0,0,2.0,49.27272727272727,20,2.0,3.0,5.0,1,0.9096319953545183,0.41541501300188644
CHITTAGONG,2026,5,2,1,0.0,49.27272727272727,20,0.0,2.0,5.0,0,0.9898214418809327,0.14231483827328512
CHITTAGONG,2026,6,1,0,2.0,49.27272727272727,20,2.0,0.0,4.0,1,0.9898214418809328,-0.142314838273285
CHITTAGONG,2026,7,3,1,1.0,49.27272727272727,20,1.0,2.0,3.0,1,0.9096319953545184,-0.4154150130018863
CHITTAGONG,2026,8,10,1,3.0,49.27272727272727,20,3.0,1.0,6.0,1,0.7557495743542583,-0.654860733945285
CHITTAGONG,2026,9,12,1,10.0,49.27272727272727,20,10.0,3.0,14.0,1,0.5406408174555978,-0.8412535328311811
CHITTAGONG,2026,10,11,1,12.0,49.27272727272727,20,12.0,10.0,25.0,1,0.28173255684142967,-0.9594929736144974
CHITTAGONG,2026,11,25,1,11.0,49.27272727272727,20,11.0,12.0,33.0,1,5.66553889764798e-16,-1.0
CHITTAGONG,2026,12,14,1,25.0,49.27272727272727,20,25.0,11.0,48.0,1,-0.2817325568414294,-0.9594929736144975
CHITTAGONG,2026,13,49,1,14.0,49.27272727272727,20,14.0,25.0,50.0,1,-0.5406408174555976,-0.8412535328311812
CHITTAGONG,2026,14,80,1,49.0,49.27272727272727,20,49.0,14.0,88.0,1,-0.7557495743542582,-0.6548607339452852
CHITTAGONG,2026,15,148,1,80.0,49.27272727272727,20,80.0,49.0,143.0,1,-0.909631995354518,-0.41541501300188716
CHITTAGONG,2026,16,234,1,148.0,49.27272727272727,20,148.0,80.0,277.0,1,-0.9898214418809327,-0.14231483827328523
CHITTAGONG,2026,17,171,1,234.0,49.27272727272727,20,234.0,148.0,462.0,1,-0.9898214418809328,0.14231483827328487
CHITTAGONG,2026,18,71,1,171.0,49.27272727272727,20,171.0,234.0,553.0,1,-0.9096319953545186,0.41541501300188605
CHITTAGONG,2026,19,125,1,71.0,49.27272727272727,20,71.0,171.0,476.0,1,-0.7557495743542587,0.6548607339452845
CHITTAGONG,2026,20,67,1,125.0,49.27272727272727,20,125.0,71.0,367.0,1,-0.5406408174555974,0.8412535328311812
CHITTAGONG,2026,21,49,1,67.0,49.27272727272727,20,67.0,125.0,263.0,1,-0.2817325568414298,0.9594929736144974
CHITTAGONG,2026,22,7,1,49.0,49.27272727272727,20,49.0,67.0,241.0,1,-1.133107779529596e-15,1.0
DHAKA,2026,1,1,0,0.0,137.4090909090909,22,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
DHAKA,2026,2,2,1,1.0,137.4090909090909,22,1.0,0.0,1.0,1,0.5406408174555976,0.8412535328311812
DHAKA,2026,3,5,1,2.0,137.4090909090909,22,2.0,1.0,3.0,1,0.7557495743542583,0.6548607339452851
DHAKA,2026,4,8,1,5.0,137.4090909090909,22,5.0,2.0,8.0,1,0.9096319953545183,0.41541501300188644
DHAKA,2026,5,7,1,8.0,137.4090909090909,22,8.0,5.0,15.0,1,0.9898214418809327,0.14231483827328512
DHAKA,2026,6,18,1,7.0,137.4090909090909,22,7.0,8.0,20.0,1,0.9898214418809328,-0.142314838273285
DHAKA,2026,7,9,1,18.0,137.4090909090909,22,18.0,7.0,33.0,1,0.9096319953545184,-0.4154150130018863
DHAKA,2026,8,18,1,9.0,137.4090909090909,22,9.0,18.0,34.0,1,0.7557495743542583,-0.654860733945285
DHAKA,2026,9,31,1,18.0,137.4090909090909,22,18.0,9.0,45.0,1,0.5406408174555978,-0.8412535328311811
DHAKA,2026,10,31,1,31.0,137.4090909090909,22,31.0,18.0,58.0,1,0.28173255684142967,-0.9594929736144974
DHAKA,2026,11,64,1,31.0,137.4090909090909,22,31.0,31.0,80.0,1,5.66553889764798e-16,-1.0
DHAKA,2026,12,22,1,64.0,137.4090909090909,22,64.0,31.0,126.0,1,-0.2817325568414294,-0.9594929736144975
DHAKA,2026,13,130,1,22.0,137.4090909090909,22,22.0,64.0,117.0,1,-0.5406408174555976,-0.8412535328311812
DHAKA,2026,14,261,1,130.0,137.4090909090909,22,130.0,22.0,216.0,1,-0.7557495743542582,-0.6548607339452852
DHAKA,2026,15,400,1,261.0,137.4090909090909,22,261.0,130.0,413.0,1,-0.909631995354518,-0.41541501300188716
DHAKA,2026,16,521,1,400.0,137.4090909090909,22,400.0,261.0,791.0,1,-0.9898214418809327,-0.14231483827328523
DHAKA,2026,17,397,1,521.0,137.4090909090909,22,521.0,400.0,1182.0,1,-0.9898214418809328,0.14231483827328487
DHAKA,2026,18,368,1,397.0,137.4090909090909,22,397.0,521.0,1318.0,1,-0.9096319953545186,0.41541501300188605
DHAKA,2026,19,287,1,368.0,137.4090909090909,22,368.0,397.0,1286.0,1,-0.7557495743542587,0.6548607339452845
DHAKA,2026,20,330,1,287.0,137.4090909090909,22,287.0,368.0,1052.0,1,-0.5406408174555974,0.8412535328311812
DHAKA,2026,21,82,1,330.0,137.4090909090909,22,330.0,287.0,985.0,1,-0.2817325568414298,0.9594929736144974
DHAKA,2026,22,31,1,82.0,137.4090909090909,22,82.0,330.0,699.0,1,-1.133107779529596e-15,1.0
KHULNA,2026,1,0,0,0.0,12.272727272727273,20,0.0,0.0,0.0,0,0.28173255684142967,0.9594929736144974
KHULNA,2026,2,1,0,0.0,12.272727272727273,20,0.0,0.0,0.0,0,0.5406408174555976,0.8412535328311812
KHULNA,2026,3,3,1,1.0,12.272727272727273,20,1.0,0.0,1.0,1,0.7557495743542583,0.6548607339452851
KHULNA,2026,4,2,1,3.0,12.272727272727273,20,3.0,1.0,4.0,1,0.9096319953545183,0.41541501300188644
KHULNA,2026,5,4,1,2.0,12.272727272727273,20,2.0,3.0,6.0,1,0.9898214418809327,0.14231483827328512
KHULNA,2026,6,1,0,4.0,12.272727272727273,20,4.0,2.0,9.0,1,0.9898214418809328,-0.142314838273285
KHULNA,2026,7,0,0,1.0,12.272727272727273,20,1.0,4.0,7.0,1,0.9096319953545184,-0.4154150130018863
KHULNA,2026,8,8,1,0.0,12.272727272727273,20,0.0,1.0,5.0,0,0.7557495743542583,-0.654860733945285
KHULNA,2026,9,5,1,8.0,12.272727272727273,20,8.0,0.0,9.0,1,0.5406408174555978,-0.8412535328311811
