shapeName,shapeISO,shapeID,shapeGroup,shapeType,measles_cases,n_weeks,outbreak_weeks,total_cases,outbreak_risk
Bagerhat,,16705992B77600989823530,BGD,ADM2,,176,10,43,0.056818181818181816
Bandarban,,16705992B23463827258150,BGD,ADM2,,66,1,11,0.015151515151515152
Barguna,,16705992B13795829103768,BGD,ADM2,,110,10,57,0.09090909090909091
Barisal,,16705992B66943755852345,BGD,ADM2,,176,13,50,0.07386363636363637
Bhola,,16705992B37732832620169,BGD,ADM2,,110,13,91,0.11818181818181818
Bogra,,16705992B87441692505107,BGD,ADM2,,154,2,16,0.012987012987012988
Brahamanbaria,,16705992B2831557138260,BGD,ADM2,,154,21,121,0.13636363636363635
Chandpur,,16705992B70711841490613,BGD,ADM2,,88,14,87,0.1590909090909091
Chittagong,,16705992B94200136889214,BGD,ADM2,,242,19,78,0.07851239669421488
Chuadanga,,16705992B19758630986204,BGD,ADM2,,88,2,12,0.022727272727272728
Comilla,,16705992B59490572634285,BGD,ADM2,,286,38,136,0.13286713286713286
Cox's Bazar,,16705992B34517682786426,BGD,ADM2,,154,26,114,0.16883116883116883
Dhaka,,16705992B90744549146712,BGD,ADM2,,198,36,266,0.18181818181818182
Dinajpur,,16705992B66423446659680,BGD,ADM2,,110,0,5,0.0
Faridpur,,16705992B67131385183639,BGD,ADM2,,132,8,40,0.06060606060606061
Feni,,16705992B83268326466345,BGD,ADM2,,110,2,13,0.01818181818181818
Gaibandha,,16705992B74857221285320,BGD,ADM2,,110,1,8,0.00909090909090909
Gazipur,,16705992B50862305652789,BGD,ADM2,,88,17,291,0.19318181818181818
Gopalganj,,16705992B87804307332289,BGD,ADM2,,66,9,50,0.13636363636363635
Habiganj,,16705992B7772300815487,BGD,ADM2,,110,3,13,0.02727272727272727
Jamalpur,,16705992B65705561019803,BGD,ADM2,,132,3,16,0.022727272727272728
Jessore,,16705992B28022870637862,BGD,ADM2,,132,0,13,0.0
Jhalokati,,16705992B14602656752780,BGD,ADM2,,66,4,14,0.06060606060606061
Jhenaidah,,16705992B77509092527129,BGD,ADM2,,88,5,19,0.056818181818181816
Joypurhat,,16705992B2288856744536,BGD,ADM2,,22,0,1,0.0
Khagrachhari,,16705992B35326431749719,BGD,ADM2,,44,0,2,0.0
Khulna,,16705992B21968895988188,BGD,ADM2,,176,6,34,0.03409090909090909
Kishoreganj,,16705992B82604838368079,BGD,ADM2,,220,2,32,0.00909090909090909
Kurigram,,16705992B97164497642406,BGD,ADM2,,88,0,5,0.0
Kushtia,,16705992B21124734124900,BGD,ADM2,,66,10,36,0.15151515151515152
Lakshmipur,,16705992B31973889793084,BGD,ADM2,,88,12,66,0.13636363636363635
Lalmonirhat,,16705992B84214314165922,BGD,ADM2,,44,0,4,0.0
Madaripur,,16705992B87985099055959,BGD,ADM2,,66,13,81,0.19696969696969696
Magura,,16705992B78415132034426,BGD,ADM2,,44,2,10,0.045454545454545456
Manikganj,,16705992B79131283702140,BGD,ADM2,,88,11,38,0.125
Maulvibazar,,16705992B62450131352427,BGD,ADM2,,88,3,15,0.03409090909090909
Meherpur,,16705992B11914188004823,BGD,ADM2,,44,2,10,0.045454545454545456
Munshiganj,,16705992B99884694518333,BGD,ADM2,,132,11,64,0.08333333333333333
Mymensingh,,16705992B54511139091050,BGD,ADM2,,242,25,137,0.10330578512396695
Naogaon,,16705992B34203284467157,BGD,ADM2,,242,3,26,0.012396694214876033
Narail,,16705992B56503274196630,BGD,ADM2,,44,2,15,0.045454545454545456
Narayanganj,,16705992B28796010313895,BGD,ADM2,,88,17,226,0.19318181818181818
Narsingdi,,16705992B95243043657125,BGD,ADM2,,132,16,91,0.12121212121212122
Natore,,16705992B43065208682222,BGD,ADM2,,110,4,22,0.03636363636363636
Nawabganj,,16705992B76725860359822,BGD,ADM2,,88,6,37,0.06818181818181818
Netrakona,,16705992B47191620994273,BGD,ADM2,,198,10,53,0.050505050505050504
Nilphamari,,16705992B74406959438199,BGD,ADM2,,110,6,24,0.05454545454545454
Noakhali,,16705992B96773862439533,BGD,ADM2,,176,6,30,0.03409090909090909
Pabna,,16705992B46384724638491,BGD,ADM2,,198,18,85,0.09090909090909091
Panchagarh,,16705992B66536058617583,BGD,ADM2,,44,2,7,0.045454545454545456
Patuakhali,,16705992B49808088196813,BGD,ADM2,,110,7,39,0.06363636363636363
Pirojpur,,16705992B46028667424095,BGD,ADM2,,110,8,36,0.07272727272727272
Rajbari,,16705992B48875454234518,BGD,ADM2,,44,2,12,0.045454545454545456
Rajshahi,,16705992B51815672792645,BGD,ADM2,,176,7,39,0.03977272727272727
Rangamati,,16705992B35610473312733,BGD,ADM2,,66,0,3,0.0
Rangpur,,16705992B34260815515495,BGD,ADM2,,110,2,10,0.01818181818181818
Satkhira,,16705992B60176987344662,BGD,ADM2,,44,0,2,0.0
Shariatpur,,16705992B92388810566131,BGD,ADM2,,132,12,59,0.09090909090909091
Sherpur,,16705992B90842308963557,BGD,ADM2,,88,5,20,0.056818181818181816
Sirajganj,,16705992B55394931042500,BGD,ADM2,,154,10,47,0.06493506493506493
Sunamganj,,16705992B61059366245275,BGD,ADM2,,176,17,86,0.09659090909090909
Sylhet,,16705992B47932115867008,BGD,ADM2,,154,8,31,0.05194805194805195
Tangail,,16705992B55867939933107,BGD,ADM2,,220,14,84,0.06363636363636363
Thakurgaon,,16705992B44482388014877,BGD,ADM2,,66,1,8,0.015151515151515152
