,0
epiweek,1.0998373
doses_mcv,0.15057105
age,0.13359635
division_DHAKA,0.06903889
fever_duration,0.061833084
sex_FEMALE,0.06006868
rash_duration,0.05796274
division_RANGPUR,0.047115143
ccc_YES,0.042754177
doses_rcv,0.03444688
division_KHULNA,0.033651877
district_CHITTAGONG,0.030621951
ccc_UNKNOWN,0.020785794
division_SYLHET,0.019209018
upzmunc_CHITTAGONG CC.,0.018269992
division_CHITTAGONG,0.014790756
upzmunc_DHAKA NORTH CC.,0.013590443
district_FENI,0.012765311
district_SATKHIRA,0.012670807
district_NOWABGANJ,0.011242405
district_PABNA,0.010738549
division_MYMENSINGH,0.010673633
division_BARISAL,0.010642558
upzmunc_GAZIPUR SADAR,0.009889669
invest_lag,0.009250365
fever_and_rash,0.008926708
district_MADARIPUR,0.008406449
upzmunc_CHAUGACHHA,0.008158278
upzmunc_DHAKA SOUTH CC.,0.008079554
upzmunc_MADARIPUR SADAR,0.008058237
division_RAJSHAHI,0.0077458983
district_BOGRA,0.0075112623
upzmunc_CHANDPUR SADAR,0.007454585
upzmunc_SAVAR,0.0071639274
vax_status_UNVACCINATED,0.00701283
district_NARAYANGANJ,0.006575196
district_CHANDPUR,0.00628562
upzmunc_KALIAKAIR,0.0059886556
district_COX'S BAZAR,0.0056910384
upzmunc_BARISAL SADAR,0.0054753097
upzmunc_NARAYANGANJ SADAR,0.0054692426
district_LAKSHMIPUR,0.005440745
district_BARGUNA,0.0052187424
upzmunc_MIRZAPUR,0.0051649115
district_TANGAIL,0.005076294
district_SARIATPUR,0.0050069387
sex_MALE,0.004900612
upzmunc_COMILLA SADAR,0.0046033273
district_JHALAKATI,0.0045473585
ccc_NO,0.0044294493
upzmunc_SITAKUNDA,0.004400886
district_COMILLA,0.0043340554
district_MOULVI BAZAR,0.0043237484
district_KHAGRACHARI,0.004265148
district_THAKURGOAN,0.0041527655
upzmunc_GODAGARI,0.004077024
upzmunc_SREEPUR_MAG,0.003966672
district_MAGURA,0.0039454214
district_KUSHTIA,0.003925936
upzmunc_TITAS,0.0038629158
upzmunc_FAKIRHAT,0.0038287886
upzmunc_KALMAKANDA,0.003825946
district_BARISAL,0.003670216
district_NETROKONA,0.003634402
upzmunc_COMILLA SADAR SOUTH,0.0035808652
district_JESSORE,0.0035644686
upzmunc_MAHESHKHALI,0.0035419601
district_MYMENSINGH,0.0035256965
district_BRAHMANBARIA,0.003473604
upzmunc_BARLEKHA,0.0034196724
upzmunc_DHAMRAI,0.003294912
upzmunc_SENBAGH,0.0031724584
upzmunc_BHANGA,0.0030454416
upzmunc_KAPASIA,0.0030028997
upzmunc_MEHDIGANJ,0.0028992053
upzmunc_BAKERGANJ,0.0028018565
upzmunc_BARGUNA SADAR,0.002791667
upzmunc_SONARGAON,0.0027893803
upzmunc_NANGALKOT,0.002673094
district_HABIGANJ,0.0026631637
upzmunc_KERANIGANJ,0.0026158968
district_MUNSHIGANJ,0.0026039723
district_GOPALGANJ,0.0025465859
district_DHAKA,0.0025006675
upzmunc_PABNA SADAR,0.0024342907
district_CHITTAGONG CC.,0.0023872887
upzmunc_PABA,0.0023605807
upzmunc_COMPANIGANJ-NOA,0.002347983
district_RANGAMATI,0.0023220633
upzmunc_MURADNAGAR,0.0023196677
upzmunc_DOWARABAZAR,0.0023071659
upzmunc_NOAKHALI SADAR,0.002270041
district_MEHERPUR,0.0022233545
upzmunc_CHAKARIA,0.002221799
upzmunc_MONOHORGANJ,0.0021826166
district_JAMALPUR,0.0021575391
upzmunc_JESSORE MUN.,0.0020120153
upzmunc_SUNAMGANJ SADAR,0.0020117164
upzmunc_PAIKGACHHA,0.0019855136
district_RAJSHAHI,0.001970734
upzmunc_JESSORE SADAR,0.0019311813
district_KHULNA,0.0018861106
district_KISHOREGANJ,0.001877674
district_SUNAMGANJ,0.0018577941
upzmunc_NARIA,0.0018052581
district_FARIDPUR,0.0017498005
upzmunc_BHOLA SADAR,0.0017109765
upzmunc_CHANDINA,0.0016789061
upzmunc_BISHWANATH,0.0016479252
upzmunc_CHAR FASSION,0.0016003051
district_GAZIPUR,0.0015999693
upzmunc_BANARIPARA,0.0015857697
upzmunc_NATORE SADAR,0.0015735347
district_BARISAL CC.,0.0015671529
upzmunc_KISHOREGONJ SADAR,0.0015237215
upzmunc_KUSHTIA SADAR,0.0015086998
upzmunc_BHALUKA,0.0014441148
upzmunc_NABINAGAR,0.0014251434
