TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,NPV,F1,balanced_accuracy,MCC,FPR,FNR,ROC_AUC,PR_AUC,threshold
86,383,4,859,0.7094594594594594,0.9953650057937428,0.18336886993603413,0.6916264090177133,0.9555555555555556,0.8161520190023752,0.5893669378648885,0.3401078370614113,0.8166311300639659,0.004634994206257242,0.8482805308007225,0.9080105936573004,0.1
100,369,9,854,0.7162162162162162,0.9895712630359212,0.21321961620469082,0.6982829108748978,0.9174311926605505,0.8187919463087249,0.6013954396203061,0.3533570494794165,0.7867803837953091,0.010428736964078795,0.8482805308007225,0.9080105936573004,0.12
110,359,12,851,0.7214714714714715,0.9860950173812283,0.2345415778251599,0.7033057851239669,0.9016393442622951,0.8210323203087313,0.6103182976031941,0.36533961410511295,0.7654584221748401,0.013904982618771726,0.8482805308007225,0.9080105936573004,0.14
125,344,15,848,0.7304804804804805,0.9826187717265353,0.26652452025586354,0.7114093959731543,0.8928571428571429,0.8253041362530414,0.6245716459911994,0.3880063848946178,0.7334754797441365,0.01738122827346466,0.8482805308007225,0.9080105936573004,0.16
137,332,22,841,0.7342342342342343,0.9745075318655851,0.2921108742004264,0.7169650468883205,0.8616352201257862,0.8261296660117877,0.6333092030330058,0.3927664457927508,0.7078891257995735,0.02549246813441483,0.8482805308007225,0.9080105936573004,0.18
146,323,25,838,0.7387387387387387,0.9710312862108922,0.31130063965884863,0.7217915590008613,0.8538011695906432,0.8280632411067192,0.6411659629348704,0.40312306257501385,0.6886993603411514,0.028968713789107765,0.8482805308007225,0.9080105936573004,0.2
156,313,29,834,0.7432432432432432,0.966396292004635,0.3326226012793177,0.7271142109851787,0.8432432432432433,0.8298507462686567,0.6495094466419763,0.4129741574719118,0.6673773987206824,0.03360370799536501,0.8482805308007225,0.9080105936573004,0.22
163,306,35,828,0.743993993993994,0.9594438006952491,0.34754797441364604,0.7301587301587301,0.8232323232323232,0.829243865798698,0.6534958875544477,0.41217290280888297,0.652452025586354,0.04055619930475087,0.8482805308007225,0.9080105936573004,0.24
172,297,37,826,0.7492492492492493,0.9571263035921205,0.36673773987206826,0.7355298308103295,0.8229665071770335,0.8318227593152064,0.6619320217320943,0.4252962288576394,0.6332622601279317,0.04287369640787949,0.8482805308007225,0.9080105936573004,0.26
180,289,40,823,0.753003003003003,0.9536500579374276,0.3837953091684435,0.7401079136690647,0.8181818181818182,0.8334177215189873,0.6687226835529356,0.43404179927267317,0.6162046908315565,0.046349942062572425,0.8482805308007225,0.9080105936573004,0.28
196,273,48,815,0.759009009009009,0.944380069524913,0.417910447761194,0.7490808823529411,0.8032786885245902,0.8354689902614043,0.6811452586430535,0.4473417425874238,0.582089552238806,0.055619930475086905,0.8482805308007225,0.9080105936573004,0.3
207,262,53,810,0.7635135135135135,0.9385863267670915,0.44136460554371004,0.7555970149253731,0.7961538461538461,0.8372093023255813,0.6899754661554007,0.4578627022048607,0.55863539445629,0.06141367323290846,0.8482805308007225,0.9080105936573004,0.32
221,248,60,803,0.7687687687687688,0.9304750869061413,0.47121535181236673,0.764034253092293,0.7864768683274022,0.8390804597701148,0.700845219359254,0.4702499908373154,0.5287846481876333,0.06952491309385864,0.8482805308007225,0.9080105936573004,0.34
237,232,64,799,0.7777777777777778,0.9258400926998841,0.5053304904051172,0.7749757516973812,0.7873754152823921,0.8437170010559663,0.7155852915525007,0.49241169825304393,0.4946695095948827,0.07415990730011587,0.8482805308007225,0.9080105936573004,0.36
246,223,68,795,0.7815315315315315,0.9212050984936269,0.5245202558635395,0.7809430255402751,0.7834394904458599,0.8452950558213715,0.7228626771785831,0.5015571721458174,0.47547974413646055,0.07879490150637311,0.8482805308007225,0.9080105936573004,0.38
252,217,77,786,0.7792792792792793,0.9107763615295481,0.5373134328358209,0.7836490528414756,0.7659574468085106,0.842443729903537,0.7240448971826845,0.4962590688441195,0.4626865671641791,0.08922363847045191,0.8482805308007225,0.9080105936573004,0.4
